bedrooms,bathroom,surface sft,land surface,price,gross tax,strata fee,build year,type,address,city,district,listing id,url,longitude,latitude
3,2,,-1,"315,000",-1.0,-1.0,-1,House,508 Rue Bouchard,Saint-Jean-sur-Richelieu,,18427026,https://www.realtor.ca/real-estate/22657075/508-rue-bouchard-saint-jean-sur-richelieu-saint-jean-sur-richelieu,-73.27289634,45.2730398
3,2,,-1,"315,000",-1.0,-1.0,-1,House,1145 Boul. St-Antoine,Saint-Jérôme,,10417313,https://www.realtor.ca/real-estate/22266505/1145-boul-st-antoine-saint-jérôme-saint-antoine,-73.97802678,45.7671173
10,2,,-1,"315,000",-1.0,-1.0,-1,House,511 Rue Marie-Derome,Saint-Jean-sur-Richelieu,,16801876,https://www.realtor.ca/real-estate/22605787/511-rue-marie-derome-saint-jean-sur-richelieu-saint-jean-sur-richelieu,-73.278616,45.336386
4,2,,-1,"315,900",-1.0,-1.0,-1,House,6351 37e Avenue,Laval (Laval-Ouest),,16525145,https://www.realtor.ca/real-estate/22623901/6351-37e-avenue-laval-laval-ouest,-73.867352,45.546525
2,2,,-1,"319,000",-1.0,-1.0,-1,House,280 Rue Chevrier,Repentigny (Repentigny),,11662142,https://www.realtor.ca/real-estate/22497989/280-rue-chevrier-repentigny-repentigny,-73.42507,45.781641
5,2,,-1,"319,000",-1.0,-1.0,-1,House,945 Rue Vimont,Laval (Saint-François),,28395676,https://www.realtor.ca/real-estate/22528012/945-rue-vimont-laval-saint-françois,-73.578708,45.671832
3,2,,-1,"319,000",-1.0,-1.0,-1,House,837 Rue du Domaine,Saint-Jean-sur-Richelieu,,22091409,https://www.realtor.ca/real-estate/22661492/837-rue-du-domaine-saint-jean-sur-richelieu-saint-jean-sur-richelieu,-73.296181,45.310177
4,2,,-1,"319,000",-1.0,-1.0,-1,House,72 Rue Martin,Saint-Pie,,24540953,https://www.realtor.ca/real-estate/22646995/72-rue-martin-saint-pie,-72.91072391,45.50640021
4,2,,-1,"319,000",-1.0,-1.0,-1,House,21 27e Avenue O.,Blainville,,21479270,https://www.realtor.ca/real-estate/22587347/21-27e-avenue-o-blainville-south,-73.854764,45.655445
5,2,1232 sqft,-1,"319,000",-1.0,-1.0,-1,House,211 Ch. St-Louis,Saint-Étienne-de-Beauharnois,,19469595,https://www.realtor.ca/real-estate/22072076/211-ch-st-louis-saint-étienne-de-beauharnois,-73.89480088,45.25971711
6,2,,-1,"319,000",-1.0,-1.0,-1,House,2975 Rue Sicotte,Saint-Hyacinthe,,10955864,https://www.realtor.ca/real-estate/22624252/2975-rue-sicotte-saint-hyacinthe-douville,-72.96124717,45.62068473
4,2,122.49 m2,-1,"319,000",-1.0,-1.0,-1,House,880 Rue des Seigneurs E.,Saint-Hyacinthe,,15577672,https://www.realtor.ca/real-estate/22645498/880-rue-des-seigneurs-e-saint-hyacinthe-saint-joseph,-72.92134747,45.61952026
3,2,,-1,"319,000",-1.0,-1.0,-1,House,12499 Rue René-Lévesque,Montréal (Rivière-des-Prairies/Pointe-aux-Trembles),,10925875,https://www.realtor.ca/real-estate/22345645/12499-rue-rené-lévesque-montréal-rivière-des-prairiespointe-aux-trembles-pointe-aux-trembles,-73.498716,45.647083
3,2,,-1,"319,000",-1.0,-1.0,-1,House,12 Rue Faust,Châteauguay,,26342222,https://www.realtor.ca/real-estate/22605863/12-rue-faust-châteauguay,-73.747738,45.364978
3,2,1017 sqft,-1,"319,500",-1.0,-1.0,-1,House,3332 Rue Alexandra,Longueuil (Saint-Hubert),,14289794,https://www.realtor.ca/real-estate/22448041/3332-rue-alexandra-longueuil-saint-hubert-laflèche,-73.463977,45.503309
6,2,,-1,"319,900",-1.0,-1.0,-1,House,615 3e Avenue,Deux-Montagnes,,20150582,https://www.realtor.ca/real-estate/22648845/615-3e-avenue-deux-montagnes-north,-73.903361,45.554931
2,2,,-1,"319,900",-1.0,-1.0,-1,House,1261 40e Avenue,Laval (Fabreville),,19316692,https://www.realtor.ca/real-estate/22506560/1261-40e-avenue-laval-fabreville-west,-73.843569,45.575824
4,2,,-1,"319,900",-1.0,-1.0,-1,House,1440 Rue Beauchamp,Mascouche,,20169212,https://www.realtor.ca/real-estate/22530937/1440-rue-beauchamp-mascouche-mascouche-heights,-73.65568,45.739728
4,2,,-1,"319,900",-1.0,-1.0,-1,House,326 Rue Rémi,#4,,9271320,https://www.realtor.ca/real-estate/22613069/326-rue-rémi-4-saint-amable,-73.3144178,45.63962395
4,2,,-1,"319,900",-1.0,-1.0,-1,House,330 Rue Rémi,#3,,19280689,https://www.realtor.ca/real-estate/22655056/330-rue-rémi-3-saint-amable,-73.31449546,45.6395669
2,2,,-1,"319,900",-1.0,-1.0,-1,House,860 Rue Senneville,Repentigny (Repentigny),,15605711,https://www.realtor.ca/real-estate/22655603/860-rue-senneville-repentigny-repentigny,-73.43371439,45.77142964
4,2,,-1,"319,900",-1.0,-1.0,-1,House,73 Rue Mireault,Repentigny (Repentigny),,13961387,https://www.realtor.ca/real-estate/22632906/73-rue-mireault-repentigny-repentigny,-73.478707,45.72107
3,2,,-1,"319,900",-1.0,-1.0,-1,House,141 56e Avenue,Saint-Eustache,,25437447,https://www.realtor.ca/real-estate/22634946/141-56e-avenue-saint-eustache-east,-73.856435,45.585565
4,2,,-1,"319,900",-1.0,-1.0,-1,House,1620 Rue Lécuyer,Saint-Michel,,11524554,https://www.realtor.ca/real-estate/22639455/1620-rue-lécuyer-saint-michel,-73.57693622,45.24356696
3,2,,-1,"319,900",-1.0,-1.0,-1,House,80 Rue Joseph-Vandal,Saint-Jean-sur-Richelieu,,11233329,https://www.realtor.ca/real-estate/22664318/80-rue-joseph-vandal-saint-jean-sur-richelieu-saint-luc,-73.29584568,45.33849897
4,2,,-1,"320,000",-1.0,-1.0,-1,House,5179 Tsse Jasmin,Longueuil (Saint-Hubert),,19920185,https://www.realtor.ca/real-estate/22648760/5179-tsse-jasmin-longueuil-saint-hubert-orchard,-73.43693522,45.48867474
4,2,1798 sqft,-1,"320,000",-1.0,-1.0,-1,House,305 Ch. St-Louis,Beauharnois,,15944273,https://www.realtor.ca/real-estate/22431187/305-ch-st-louis-beauharnois-beauharnois,-73.87968617,45.30732186
3,2,,-1,"324,000",-1.0,-1.0,-1,House,819 41e Avenue,Saint-Jérôme,,28379600,https://www.realtor.ca/real-estate/22657267/819-41e-avenue-saint-jérôme-saint-antoine,-73.970631,45.776301
4,2,,-1,"324,000",-1.0,-1.0,-1,House,370 Rue Brodeur,Longueuil (Le Vieux-Longueuil),,10456084,https://www.realtor.ca/real-estate/22601815/370-rue-brodeur-longueuil-le-vieux-longueuil-east,-73.473254,45.532097
4,2,,-1,"324,000",-1.0,-1.0,-1,House,62 Rue Lakeview,Deux-Montagnes,,26476154,https://www.realtor.ca/real-estate/22566089/62-rue-lakeview-deux-montagnes-south,-73.89597738,45.53263542
3,2,,-1,"324,900",-1.0,-1.0,-1,House,1006 Av. Jean-Charles,Laval (Sainte-Rose),,25157465,https://www.realtor.ca/real-estate/22392270/1006-av-jean-charles-laval-sainte-rose-valjardins-ste-rose,-73.770897,45.624076
3,2,,-1,"324,900",-1.0,-1.0,-1,House,1033 11e Avenue,Laval (Fabreville),,27348042,https://www.realtor.ca/real-estate/22619700/1033-11e-avenue-laval-fabreville-west,-73.861284,45.561467
4,2,,-1,"324,900",-1.0,-1.0,-1,House,1371 Rue Maurice-Cullen,Blainville,,17364337,https://www.realtor.ca/real-estate/22637292/1371-rue-maurice-cullen-blainville-north,-73.89847,45.693483
4,2,,-1,"324,900",-1.0,-1.0,-1,House,39 Rue Lebeau,Sainte-Thérèse,,18491890,https://www.realtor.ca/real-estate/22622541/39-rue-lebeau-sainte-thérèse-central-old,-73.82083798,45.63989671
4,2,1120 sqft,-1,"324,900",-1.0,-1.0,-1,House,1046 44e Avenue,Laval (Fabreville),,9930554,https://www.realtor.ca/real-estate/22467087/1046-44e-avenue-laval-fabreville-west,-73.83710129,45.57260026
2,2,898 sqft,-1,"325,000",-1.0,-1.0,-1,House,562 Rue St-André,Laval (Pont-Viau),,16539242,https://www.realtor.ca/real-estate/22545252/562-rue-st-andré-laval-pont-viau,-73.691768,45.572329
4,2,,-1,"325,000",-1.0,-1.0,-1,House,214 Rue Orléans,Saint-Eustache,,20282443,https://www.realtor.ca/real-estate/22615865/214-rue-orléans-saint-eustache-central-east,-73.88600654,45.57460662
8,2,,-1,"325,000",-1.0,-1.0,-1,House,81 Rue St-Laurent,Salaberry-de-Valleyfield,,13917774,https://www.realtor.ca/real-estate/21589827/81-rue-st-laurent-salaberry-de-valleyfield-saint-timothée,-74.03564868,45.29360258
4,2,,-1,"325,000",-1.0,-1.0,-1,House,270 Boul. Iberville,Repentigny (Repentigny),,22521753,https://www.realtor.ca/real-estate/22663159/270-boul-iberville-repentigny-repentigny,-73.46163447,45.72846967
5,2,,-1,"325,000",-1.0,-1.0,-1,House,525 Rue Favre,La Prairie,,19738672,https://www.realtor.ca/real-estate/22641552/525-rue-favre-la-prairie-le-fort-neuf,-73.4927782,45.41154175
4,2,,-1,"325,000",-1.0,-1.0,-1,House,1269 Rue Churchill,Repentigny (Repentigny),,14594490,https://www.realtor.ca/real-estate/22642310/1269-rue-churchill-repentigny-repentigny,-73.41686208,45.78345225
3,2,,-1,"325,000",-1.0,-1.0,-1,House,8170 Rue Rodrigue,Laval (Saint-François),,13237576,https://www.realtor.ca/real-estate/22624269/8170-rue-rodrigue-laval-saint-françois,-73.587658,45.669738
4,2,,-1,"325,000",-1.0,-1.0,-1,House,1077 Rue de Neuville,Repentigny (Repentigny),,16265560,https://www.realtor.ca/real-estate/22319467/1077-rue-de-neuville-repentigny-repentigny,-73.42781217,45.78006625
2,2,887 sqft,-1,"325,000",-1.0,-1.0,-1,House,2117Z Rue Préfontaine,Longueuil (Le Vieux-Longueuil),,17935695,https://www.realtor.ca/real-estate/22323598/2117z-rue-préfontaine-longueuil-le-vieux-longueuil-central,-73.48546,45.514436
3,2,,-1,"325,000",-1.0,-1.0,-1,House,600 Rue de Champigny,Terrebonne (Terrebonne),,19883721,https://www.realtor.ca/real-estate/22619852/600-rue-de-champigny-terrebonne-terrebonne-saint-louishauteville,-73.66572615,45.70060915
3,2,,-1,"325,000",-1.0,-1.0,-1,House,1230 Rue Jacques-Desrosiers,Blainville,,21080876,https://www.realtor.ca/real-estate/22601276/1230-rue-jacques-desrosiers-blainville-north,-73.89924935,45.68446579
2,2,,-1,"325,000",-1.0,-1.0,-1,House,55 Rue Veilleux,Saint-Constant,,23057408,https://www.realtor.ca/real-estate/22656827/55-rue-veilleux-saint-constant,-73.595444,45.381892
4,2,180.1 m2,-1,"325,000",-1.0,-1.0,-1,House,37 Ch. de la Beauce,Beauharnois,,19687503,https://www.realtor.ca/real-estate/22409303/37-ch-de-la-beauce-beauharnois-beauharnois,-73.86929654,45.31408614
4,2,,-1,"326,905",-1.0,-1.0,-1,House,151A Rue du Carignan,Saint-Jean-sur-Richelieu,,17534825,https://www.realtor.ca/real-estate/22553021/151a-rue-du-carignan-saint-jean-sur-richelieu-saint-jean-sur-richelieu,-73.25692664,45.29058895
4,2,,-1,"326,905",-1.0,-1.0,-1,House,151 Rue du Carignan,Saint-Jean-sur-Richelieu,,21724366,https://www.realtor.ca/real-estate/22553060/151-rue-du-carignan-saint-jean-sur-richelieu-saint-jean-sur-richelieu,-73.256586,45.290538
4,2,,-1,"328,900",-1.0,-1.0,-1,House,146 Crois. Gaudet,Repentigny (Le Gardeur),,26701601,https://www.realtor.ca/real-estate/22595179/146-crois-gaudet-repentigny-le-gardeur,-73.458664,45.772939
3,2,,-1,"329,000",-1.0,-1.0,-1,House,3210 Rue de Panama,Longueuil (Saint-Hubert),,15605595,https://www.realtor.ca/real-estate/22640325/3210-rue-de-panama-longueuil-saint-hubert-street-names-l-p,-73.43064,45.500338
3,2,99 m2,-1,"329,000",-1.0,-1.0,-1,House,956 Rue Vinet,Beloeil,,17715593,https://www.realtor.ca/real-estate/22627174/956-rue-vinet-beloeil,-73.206075,45.575701
5,2,,-1,"329,000",-1.0,-1.0,-1,House,1139 Rue Gagnier,Deux-Montagnes,,12824702,https://www.realtor.ca/real-estate/22555737/1139-rue-gagnier-deux-montagnes-north,-73.9128982,45.55160472
4,2,1768 sqft,-1,"329,000",-1.0,-1.0,-1,House,666 Rue Bellevue,Deux-Montagnes,,12200029,https://www.realtor.ca/real-estate/22449531/666-rue-bellevue-deux-montagnes-north,-73.91293533,45.55213389
3,2,,-1,"329,000",-1.0,-1.0,-1,House,479 Boul. de L'Assomption,Repentigny (Repentigny),,9973349,https://www.realtor.ca/real-estate/22482093/479-boul-de-lassomption-repentigny-repentigny,-73.47011793,45.74724035
4,2,,-1,"329,000",-1.0,-1.0,-1,House,15A 39e Avenue,Bois-des-Filion,,26831949,https://www.realtor.ca/real-estate/22660584/15a-39e-avenue-bois-des-filion,-73.755927,45.663852
4,2,,-1,"329,000",-1.0,-1.0,-1,House,94 Carré St-Patrick,Châteauguay,,25531370,https://www.realtor.ca/real-estate/22664360/94-carré-st-patrick-châteauguay,-73.726584,45.352823
3,2,,-1,"329,000",-1.0,-1.0,-1,House,4050 Rue Benoit,Laval (Chomedey),,19498294,https://www.realtor.ca/real-estate/22384253/4050-rue-benoit-laval-chomedey-carrefour-saint-martin,-73.77298666,45.55993117
3,2,,-1,"329,000",-1.0,-1.0,-1,House,540 Av. Georges-Rainville,Saint-Jean-sur-Richelieu,,22207236,https://www.realtor.ca/real-estate/22662203/540-av-georges-rainville-saint-jean-sur-richelieu-iberville,-73.22628641,45.31145849
4,2,,-1,"329,000",-1.0,-1.0,-1,House,6160 Rue Dagenais,Montréal (Montréal-Nord),,15464068,https://www.realtor.ca/real-estate/21945252/6160-rue-dagenais-montréal-montréal-nord,-73.624738,45.6189
3,2,,-1,"329,000",-1.0,-1.0,-1,House,815 Rue des Bouleaux,Saint-Eustache,,26056077,https://www.realtor.ca/real-estate/22604779/815-rue-des-bouleaux-saint-eustache-north-west,-73.929306,45.581426
4,2,,-1,"329,000",-1.0,-1.0,-1,House,441 Rue Populaire,Terrebonne (Lachenaie),,23912212,https://www.realtor.ca/real-estate/22604856/441-rue-populaire-terrebonne-lachenaie-odiana,-73.656061,45.720567
3,2,,-1,"329,000",-1.0,-1.0,-1,House,1780 Rue Godard,Terrebonne (Terrebonne),,16549226,https://www.realtor.ca/real-estate/22426387/1780-rue-godard-terrebonne-terrebonne-saint-louishauteville,-73.65963,45.719172
4,2,,-1,"329,000",-1.0,-1.0,-1,House,11 Rue des Pins,Sainte-Anne-des-Plaines,,22463658,https://www.realtor.ca/real-estate/22635835/11-rue-des-pins-sainte-anne-des-plaines,-73.76975782,45.76245678
3,2,77.8 m2,-1,"329,000",-1.0,-1.0,-1,House,12795 Av. Paul-Dufault,Montréal (Rivière-des-Prairies/Pointe-aux-Trembles),,17021576,https://www.realtor.ca/real-estate/22238699/12795-av-paul-dufault-montréal-rivière-des-prairiespointe-aux-trembles-rivière-des-prairies,-73.593896,45.645818
4,2,,-1,"329,000",-1.0,-1.0,-1,House,837 Rue Robert,Saint-Jérôme,,24543144,https://www.realtor.ca/real-estate/22413262/837-rue-robert-saint-jérôme-bellefeuille,-74.04837258,45.77060501
3,2,942.5 sqft,-1,"329,000",-1.0,-1.0,-1,House,902 Rue Sarrazin,Repentigny (Repentigny),,24710623,https://www.realtor.ca/real-estate/22496111/902-rue-sarrazin-repentigny-repentigny,-73.425997,45.769858
4,2,,-1,"329,000",-1.0,-1.0,-1,House,1285 Av. des Érables,Saint-Jérôme,,21113672,https://www.realtor.ca/real-estate/22651524/1285-av-des-érables-saint-jérôme-saint-antoine,-73.97550818,45.75543994
4,2,,-1,"329,000",-1.0,-1.0,-1,House,2625 Boul. Hébert,Salaberry-de-Valleyfield,,26677057,https://www.realtor.ca/real-estate/22656852/2625-boul-hébert-salaberry-de-valleyfield-saint-timothée,-74.08938915,45.27452225
3,2,,-1,"329,900",-1.0,-1.0,-1,House,6152 Rue Guérin,Terrebonne (La Plaine),,14452816,https://www.realtor.ca/real-estate/22654269/6152-rue-guérin-terrebonne-la-plaine-laurierchartrand,-73.71255339,45.76392807
4,2,,-1,"329,900",-1.0,-1.0,-1,House,580 Rue Beauchamp,Repentigny (Le Gardeur),,25870571,https://www.realtor.ca/real-estate/22525971/580-rue-beauchamp-repentigny-le-gardeur,-73.46638986,45.7664615
4,2,,-1,"329,900",-1.0,-1.0,-1,House,1171 Rue Gadbois,Longueuil (Saint-Hubert),,15994305,https://www.realtor.ca/real-estate/22643775/1171-rue-gadbois-longueuil-saint-hubert-laflèche,-73.452158,45.497995
3,2,,-1,"329,900",-1.0,-1.0,-1,House,410 Boul. Jacques-Cartier E.,Longueuil (Le Vieux-Longueuil),,10080891,https://www.realtor.ca/real-estate/22451808/410-boul-jacques-cartier-e-longueuil-le-vieux-longueuil-pierre-boucher,-73.462667,45.529827
3,2,,-1,"329,900",-1.0,-1.0,-1,House,317 Rue de Louvain,Saint-Eustache,,21119223,https://www.realtor.ca/real-estate/22657356/317-rue-de-louvain-saint-eustache-east,-73.87292488,45.58028487
3,2,,-1,"329,900",-1.0,-1.0,-1,House,1208 Rue Auvergne,Mascouche,,12178469,https://www.realtor.ca/real-estate/22593928/1208-rue-auvergne-mascouche-mascouche-heights,-73.666164,45.742275
3,2,,-1,"329,900",-1.0,-1.0,-1,House,111 Rue Aurèle-Benoît,Saint-Jean-sur-Richelieu,,27773664,https://www.realtor.ca/real-estate/22634483/111-rue-aurèle-benoît-saint-jean-sur-richelieu-saint-luc,-73.254872,45.369349
3,2,,-1,"329,900",-1.0,-1.0,-1,House,1099 Boul. de La Salette,Saint-Jérôme,,16350620,https://www.realtor.ca/real-estate/22666521/1099-boul-de-la-salette-saint-jérôme-bellefeuille,-74.09915987,45.78305872
3,2,85.77 m2,-1,"330,000",-1.0,-1.0,-1,House,80 84e Avenue O.,Blainville,,13356790,https://www.realtor.ca/real-estate/22638189/80-84e-avenue-o-blainville-north,-73.894993,45.672723
3,3,,-1,"330,000",-1.0,-1.0,-1,House,258 8e Avenue,L'Île-Perrot,,11421183,https://www.realtor.ca/real-estate/22593997/258-8e-avenue-lîle-perrot,-73.957484,45.392324
5,2,92.33 m2,-1,"330,000",-1.0,-1.0,-1,House,519 Rue Joseph-Bonnet,Saint-Eustache,,17525820,https://www.realtor.ca/real-estate/22628989/519-rue-joseph-bonnet-saint-eustache-north-west,-73.92656038,45.5683753
4,2,,-1,"334,000",-1.0,-1.0,-1,House,203 Rue Antonio,Sainte-Anne-des-Plaines,,22121118,https://www.realtor.ca/real-estate/22562696/203-rue-antonio-sainte-anne-des-plaines,-73.80749635,45.76388295
4,2,97.9 m2,-1,"334,000",-1.0,-1.0,-1,House,21A Rue de Neptune,Marieville,,18420810,https://www.realtor.ca/real-estate/22648289/21a-rue-de-neptune-marieville,-73.1957847,45.43645211
3,2,,-1,"334,900",-1.0,-1.0,-1,House,95 Rue de l'Église,McMasterville,,13252580,https://www.realtor.ca/real-estate/22666508/95-rue-de-léglise-mcmasterville,-73.21995131,45.54668651
5,2,,-1,"334,900",-1.0,-1.0,-1,House,501-503 Ch. Pincourt,Mascouche,,14519436,https://www.realtor.ca/real-estate/22399061/501-503-ch-pincourt-mascouche-mascouche-heights,-73.669355,45.746258
3,2,,-1,"334,900",-1.0,-1.0,-1,House,611 Rue Léonard,Saint-Eustache,,19222682,https://www.realtor.ca/real-estate/22539598/611-rue-léonard-saint-eustache-north-west,-73.928634,45.575446
3,2,893 sqft,-1,"335,000",-1.0,-1.0,-1,House,87 Boul. Laurentien,Repentigny (Repentigny),,27374242,https://www.realtor.ca/real-estate/22654587/87-boul-laurentien-repentigny-repentigny,-73.41608,45.775421
3,2,,-1,"335,400",-1.0,-1.0,-1,House,8617 10e Avenue,Montréal (Villeray/Saint-Michel/Parc-Extension),,11391990,https://www.realtor.ca/real-estate/22578739/8617-10e-avenue-montréal-villeraysaint-michelparc-extension-saint-michel,-73.619324,45.567416
3,2,,-1,"336,000",-1.0,-1.0,-1,House,Rue des Cygnes,Saint-Stanislas-de-Kostka,,21974790,https://www.realtor.ca/real-estate/21600722/rue-des-cygnes-saint-stanislas-de-kostka,-74.155058,45.206917
3,2,,-1,"337,000",-1.0,-1.0,-1,House,12 Rue Lalonde,Mercier,,25439902,https://www.realtor.ca/real-estate/22630402/12-rue-lalonde-mercier,-73.74871442,45.30172542
3,2,,-1,"337,900",-1.0,-1.0,-1,House,17 8e Avenue,Sainte-Marthe-sur-le-Lac,,14513194,https://www.realtor.ca/real-estate/22423133/17-8e-avenue-sainte-marthe-sur-le-lac-south,-73.91900035,45.52997654
